Crown Fire Probability,Sum of acres treated
2,12
4,308
6,498
7,98
8,"1,112"
9,"3,789"
10,370
11,"1,056"
12,132
13,"3,068"
14,448
15,"3,015"
16,"1,568"
17,459
18,270
19,627
20,"2,200"
21,"1,533"
22,66
23,"2,645"
24,"1,200"
25,"5,625"
26,"4,316"
27,"2,970"
28,84
29,580
30,"1,770"
31,"4,433"
32,"4,608"
33,"12,342"
34,"1,054"
35,"1,190"
36,"3,528"
37,"5,402"
38,380
39,"4,563"
41,"2,173"
42,"4,872"
43,"1,892"
44,"1,012"
45,"5,220"
46,"10,442"
47,"17,531"
48,384
49,"3,087"
50,"4,400"
51,"19,482"
52,988
53,901
54,"4,212"
55,"3,135"
56,"3,808"
58,"1,102"
60,"5,580"
61,"12,566"
62,"9,610"
66,"11,550"
67,"2,546"
70,"6,300"
71,"1,136"
74,370
76,"1,064"
80,"2,080"
